Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-16,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,12.0,11.0,12.0,11.0,0.0,0.0,0.0,0.0,17.099999999999998,0.0,0.0,0.0
2020-03-17,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,17.099999999999998,0.0,0.0,0.0
2020-03-18,20.0,1.0,0.0,20.0,1.0,0.0,19.0,0.05,inf,0.0,0.333,4.0,inf,5.0,inf,1.0,inf,0.0,0.0,21.659999999999997,100.0,180.0,350.0
2020-03-19,33.0,1.0,0.0,33.0,1.0,0.0,32.0,0.03,0.0,0.0,0.65,13.0,2.25,13.0,1.6,0.0,-1.0,0.0,0.0,36.48,100.0,180.0,350.0
2020-03-20,40.0,1.0,0.0,40.0,1.0,0.0,39.0,0.025,0.0,0.0,0.212,7.0,-0.46153846153846156,7.0,-0.46153846153846156,0.0,0.0,0.0,0.0,44.459999999999994,100.0,180.0,350.0
2020-03-21,64.0,2.0,5.0,64.0,2.0,5.0,57.0,0.031,1.0,inf,0.6,18.0,1.5714285714285716,24.0,2.4285714285714284,1.0,inf,5.0,inf,64.97999999999999,200.0,360.0,700.0
2020-03-22,75.0,4.0,5.0,75.0,4.0,5.0,66.0,0.053,1.0,0.0,0.172,9.0,-0.5,11.0,-0.5416666666666667,2.0,1.0,0.0,-1.0,75.24,400.0,720.0,1400.0
