Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-12,3.0,,Cuba,0,3.0,,0.0,3.0,0.0,,,,,,,3.0
2020-03-13,4.0,,Cuba,0,4.0,,0.0,4.0,0.0,,,0.333,,,,5.0
2020-03-14,4.0,,Cuba,0,4.0,,0.0,4.0,0.0,,,0.0,,,,5.0
2020-03-15,4.0,,Cuba,0,4.0,,0.0,4.0,0.0,,,0.0,,,,5.0
2020-03-16,4.0,,Cuba,0,4.0,,0.0,4.0,0.0,,,0.0,,,,5.0
2020-03-17,5.0,,Cuba,0,5.0,,0.0,5.0,0.0,,,0.25,,,,6.0
2020-03-18,7.0,1.0,Cuba,0,7.0,1.0,0.0,6.0,0.143,inf,,0.4,100.0,180.0,350.0,8.0
2020-03-19,11.0,1.0,Cuba,0,11.0,1.0,0.0,10.0,0.091,0.0,,0.571,100.0,180.0,350.0,13.0
2020-03-20,16.0,1.0,Cuba,0,16.0,1.0,0.0,15.0,0.062,0.0,,0.455,100.0,180.0,350.0,18.0
2020-03-21,21.0,1.0,Cuba,0,21.0,1.0,0.0,20.0,0.048,0.0,,0.312,100.0,180.0,350.0,24.0
2020-03-22,35.0,1.0,Cuba,0,35.0,1.0,0.0,34.0,0.029,0.0,,0.667,100.0,180.0,350.0,40.0
2020-03-23,35.0,1.0,Cuba,0,35.0,1.0,0.0,34.0,0.029,0.0,,0.0,100.0,180.0,350.0,40.0
