Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-29,1.0,,,Finland,1.0,,,1.0,0.0,,,,,,,1.0
2020-01-30,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-01-31,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-01,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-02,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-03,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-04,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-05,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-06,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-07,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-08,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-09,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-10,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-11,1.0,,,Finland,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-12,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,inf,0.0,,,,1.0
2020-02-13,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-14,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-15,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-16,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-17,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-18,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-19,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-20,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-21,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-22,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-23,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-24,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-25,1.0,,1.0,Finland,1.0,,1.0,0.0,0.0,,0.0,0.0,,,,1.0
2020-02-26,2.0,,1.0,Finland,2.0,,1.0,1.0,0.0,,0.0,1.0,,,,2.0
2020-02-27,2.0,,1.0,Finland,2.0,,1.0,1.0,0.0,,0.0,0.0,,,,2.0
2020-02-28,2.0,,1.0,Finland,2.0,,1.0,1.0,0.0,,0.0,0.0,,,,2.0
2020-02-29,3.0,,1.0,Finland,3.0,,1.0,2.0,0.0,,0.0,0.5,,,,3.0
2020-03-01,6.0,,1.0,Finland,6.0,,1.0,5.0,0.0,,0.0,1.0,,,,7.0
2020-03-02,6.0,,1.0,Finland,6.0,,1.0,5.0,0.0,,0.0,0.0,,,,7.0
2020-03-03,6.0,,1.0,Finland,6.0,,1.0,5.0,0.0,,0.0,0.0,,,,7.0
2020-03-04,6.0,,1.0,Finland,6.0,,1.0,5.0,0.0,,0.0,0.0,,,,7.0
2020-03-05,12.0,,1.0,Finland,12.0,,1.0,11.0,0.0,,0.0,1.0,,,,14.0
2020-03-06,15.0,,1.0,Finland,15.0,,1.0,14.0,0.0,,0.0,0.25,,,,17.0
2020-03-07,15.0,,1.0,Finland,15.0,,1.0,14.0,0.0,,0.0,0.0,,,,17.0
2020-03-08,23.0,,1.0,Finland,23.0,,1.0,22.0,0.0,,0.0,0.533,,,,26.0
2020-03-09,30.0,,1.0,Finland,30.0,,1.0,29.0,0.0,,0.0,0.304,,,,34.0
2020-03-10,40.0,,1.0,Finland,40.0,,1.0,39.0,0.0,,0.0,0.333,,,,46.0
