Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-03 15:33:02,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,45,25717,45,45,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,11.399999999999999,0.0,0.0,0.0
2020-03-11 20:00:00,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,10,4175,10,10,1.0,3.0,1.0,0.0,2.0,0.333,inf,0.0,-0.7,0.0,-8.0,0.0,-7.0,0.0,1.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-03-13 22:22:02,0.0,0.0,0.0,6.0,2.0,0.0,4.0,4.0,23,9287,23,23,2.0,6.0,2.0,0.0,4.0,0.333,1.0,0.0,1.0,0.10000000000000002,2.0,-1.25,3.0,-1.4285714285714286,1.0,0.0,0.0,0.0,4.56,200.0,360.0,700.0
2020-03-16 21:13:17,0.0,0.0,0.0,7.0,1.0,0.0,6.0,6.0,13,5475,13,13,1.0,7.0,1.0,0.0,6.0,0.143,-0.5,0.0,0.167,0.1556666666666667,2.0,0.0,1.0,-0.6666666666666667,-1.0,-2.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-17 19:33:02,0.0,0.0,0.0,28.0,4.0,0.0,24.0,24.0,29,11377,29,29,4.0,28.0,4.0,0.0,24.0,0.143,3.0,0.0,3.0,1.389,18.0,8.0,21.0,20.0,3.0,-4.0,0.0,0.0,27.36,400.0,720.0,1400.0
2020-03-19 01:03:45,0.0,0.0,0.0,16.0,2.0,0.0,14.0,14.0,16,6038,16,16,2.0,16.0,2.0,0.0,14.0,0.125,-0.5,0.0,-0.429,0.9126666666666666,-10.0,-1.5555555555555556,-12.0,-1.5714285714285714,-2.0,-1.6666666666666665,0.0,0.0,15.959999999999999,200.0,360.0,700.0
2020-03-20 20:43:03,0.0,0.0,0.0,29.0,3.0,0.0,26.0,26.0,17,6477,17,17,3.0,29.0,3.0,0.0,26.0,0.103,0.5,0.0,0.812,1.1276666666666666,12.0,-2.2,13.0,-2.083333333333333,1.0,-1.5,0.0,0.0,29.639999999999997,300.0,540.0,1050.0
2020-03-21 21:13:10,0.0,0.0,0.0,47.0,3.0,1.0,44.0,43.0,18,6706,18,18,3.0,47.0,3.0,1.0,43.0,0.064,0.0,inf,0.621,0.3346666666666665,17.0,0.41666666666666674,18.0,0.3846153846153846,0.0,-1.0,1.0,inf,49.019999999999996,300.0,540.0,1050.0
2020-03-22 23:45:00,49.4871968,31.2718321,0.0,73.0,3.0,1.0,70.0,69.0,19,0,19,19,3.0,73.0,3.0,1.0,69.0,0.041,0.0,0.0,0.553,0.6619999999999998,26.0,0.5294117647058822,26.0,0.4444444444444444,0.0,0.0,0.0,-1.0,78.66,300.0,540.0,1050.0
2020-03-23 23:19:21,49.4871968,31.2718321,0.0,73.0,3.0,1.0,70.0,69.0,20,1,20,20,3.0,73.0,3.0,1.0,69.0,0.041,0.0,0.0,0.0,0.39133333333333314,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.66,300.0,540.0,1050.0
2020-03-24 23:37:15,49.4871968,31.2718321,0.0,97.0,3.0,1.0,94.0,93.0,21,2,21,21,3.0,97.0,3.0,1.0,93.0,0.031,0.0,0.0,0.329,0.2939999999999998,24.0,inf,24.0,inf,0.0,0.0,0.0,0.0,106.02,300.0,540.0,1050.0
2020-03-25 23:33:04,49.4871968,31.2718321,0.0,145.0,5.0,1.0,140.0,139.0,22,3,22,22,5.0,145.0,5.0,1.0,139.0,0.034,0.667,0.0,0.495,0.27466666666666645,46.0,0.9166666666666667,48.0,1.0,2.0,inf,0.0,0.0,158.45999999999998,500.0,900.0,1750.0
